sasdate,Y,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20
1960-03-01,2.2237183500353197,,,,,,,,,,,,,,,,,,,,
1960-06-01,-0.5398116459607749,2.2237183500353197,,,,,,,,,,,,,,,,,,,
1960-09-01,0.4887349823633258,-0.5398116459607749,2.2237183500353197,,,,,,,,,,,,,,,,,,
1960-12-01,-1.2914343824322216,0.4887349823633258,-0.5398116459607749,2.2237183500353197,,,,,,,,,,,,,,,,,
1961-03-01,0.6727499213381449,-1.2914343824322216,0.4887349823633258,-0.5398116459607749,2.2237183500353197,,,,,,,,,,,,,,,,
1961-06-01,1.6836022282726404,0.6727499213381449,-1.2914343824322216,0.4887349823633258,-0.5398116459607749,2.2237183500353197,,,,,,,,,,,,,,,
1961-09-01,1.9021594877155934,1.6836022282726404,0.6727499213381449,-1.2914343824322216,0.4887349823633258,-0.5398116459607749,2.2237183500353197,,,,,,,,,,,,,,
1961-12-01,1.9426768536790817,1.9021594877155934,1.6836022282726404,0.6727499213381449,-1.2914343824322216,0.4887349823633258,-0.5398116459607749,2.2237183500353197,,,,,,,,,,,,,
1962-03-01,1.7679425844058017,1.9426768536790817,1.9021594877155934,1.6836022282726404,0.6727499213381449,-1.2914343824322216,0.4887349823633258,-0.5398116459607749,2.2237183500353197,,,,,,,,,,,,
1962-06-01,0.9006860092162228,1.7679425844058017,1.9426768536790817,1.9021594877155934,1.6836022282726404,0.6727499213381449,-1.2914343824322216,0.4887349823633258,-0.5398116459607749,2.2237183500353197,,,,,,,,,,,
1962-09-01,1.2220688918295863,0.9006860092162228,1.7679425844058017,1.9426768536790817,1.9021594877155934,1.6836022282726404,0.6727499213381449,-1.2914343824322216,0.4887349823633258,-0.5398116459607749,2.2237183500353197,,,,,,,,,,
1962-12-01,0.32886053234335577,1.2220688918295863,0.9006860092162228,1.7679425844058017,1.9426768536790817,1.9021594877155934,1.6836022282726404,0.6727499213381449,-1.2914343824322216,0.4887349823633258,-0.5398116459607749,2.2237183500353197,,,,,,,,,
1963-03-01,1.0861701822962644,0.32886053234335577,1.2220688918295863,0.9006860092162228,1.7679425844058017,1.9426768536790817,1.9021594877155934,1.6836022282726404,0.6727499213381449,-1.2914343824322216,0.4887349823633258,-0.5398116459607749,2.2237183500353197,,,,,,,,
1963-06-01,1.116162003985366,1.0861701822962644,0.32886053234335577,1.2220688918295863,0.9006860092162228,1.7679425844058017,1.9426768536790817,1.9021594877155934,1.6836022282726404,0.6727499213381449,-1.2914343824322216,0.4887349823633258,-0.5398116459607749,2.2237183500353197,,,,,,,
1963-09-01,2.175005327773505,1.116162003985366,1.0861701822962644,0.32886053234335577,1.2220688918295863,0.9006860092162228,1.7679425844058017,1.9426768536790817,1.9021594877155934,1.6836022282726404,0.6727499213381449,-1.2914343824322216,0.4887349823633258,-0.5398116459607749,2.2237183500353197,,,,,,
1963-12-01,0.6537630504007907,2.175005327773505,1.116162003985366,1.0861701822962644,0.32886053234335577,1.2220688918295863,0.9006860092162228,1.7679425844058017,1.9426768536790817,1.9021594877155934,1.6836022282726404,0.6727499213381449,-1.2914343824322216,0.4887349823633258,-0.5398116459607749,2.2237183500353197,,,,,
1964-03-01,2.086787917430577,0.6537630504007907,2.175005327773505,1.116162003985366,1.0861701822962644,0.32886053234335577,1.2220688918295863,0.9006860092162228,1.7679425844058017,1.9426768536790817,1.9021594877155934,1.6836022282726404,0.6727499213381449,-1.2914343824322216,0.4887349823633258,-0.5398116459607749,2.2237183500353197,,,,
1964-06-01,1.0831807372440494,2.086787917430577,0.6537630504007907,2.175005327773505,1.116162003985366,1.0861701822962644,0.32886053234335577,1.2220688918295863,0.9006860092162228,1.7679425844058017,1.9426768536790817,1.9021594877155934,1.6836022282726404,0.6727499213381449,-1.2914343824322216,0.4887349823633258,-0.5398116459607749,2.2237183500353197,,,
1964-09-01,1.5505187497860007,1.0831807372440494,2.086787917430577,0.6537630504007907,2.175005327773505,1.116162003985366,1.0861701822962644,0.32886053234335577,1.2220688918295863,0.9006860092162228,1.7679425844058017,1.9426768536790817,1.9021594877155934,1.6836022282726404,0.6727499213381449,-1.2914343824322216,0.4887349823633258,-0.5398116459607749,2.2237183500353197,,
1964-12-01,0.3087140739525651,1.5505187497860007,1.0831807372440494,2.086787917430577,0.6537630504007907,2.175005327773505,1.116162003985366,1.0861701822962644,0.32886053234335577,1.2220688918295863,0.9006860092162228,1.7679425844058017,1.9426768536790817,1.9021594877155934,1.6836022282726404,0.6727499213381449,-1.2914343824322216,0.4887349823633258,-0.5398116459607749,2.2237183500353197,
1965-03-01,2.391092295812669,0.3087140739525651,1.5505187497860007,1.0831807372440494,2.086787917430577,0.6537630504007907,2.175005327773505,1.116162003985366,1.0861701822962644,0.32886053234335577,1.2220688918295863,0.9006860092162228,1.7679425844058017,1.9426768536790817,1.9021594877155934,1.6836022282726404,0.6727499213381449,-1.2914343824322216,0.4887349823633258,-0.5398116459607749,2.2237183500353197
1965-06-01,1.255555637043848,2.391092295812669,0.3087140739525651,1.5505187497860007,1.0831807372440494,2.086787917430577,0.6537630504007907,2.175005327773505,1.116162003985366,1.0861701822962644,0.32886053234335577,1.2220688918295863,0.9006860092162228,1.7679425844058017,1.9426768536790817,1.9021594877155934,1.6836022282726404,0.6727499213381449,-1.2914343824322216,0.4887349823633258,-0.5398116459607749
